exp_name;algorithm;env_name;ep_len;num_agent_train_steps_per_iter;n_iter;batch_size;eval_batch_size;train_batch_size;n_layers;size;learning_rate;max_replay_buffer_size;reward_mean;reward_std;expert_reward
dagger_iter_train5000_humanoidv2_4;dagger;humanoidv2;152;5000;20;1000;200;100;2;64;0.005;1000000;977.91;184.6;10344.52
dagger_iter_train5000_humanoidv2_9;dagger;humanoidv2;159;5000;20;1000;200;100;2;64;0.005;1000000;987.08;81.75;10344.52
dagger_iter_train5000_humanoidv2_2;dagger;humanoidv2;108;5000;20;1000;200;100;2;64;0.005;1000000;683.6;224.8;10344.52
dagger_iter_train5000_humanoidv2_1;dagger;humanoidv2;158;5000;20;1000;200;100;2;64;0.005;1000000;1023.67;12.56;10344.52
dagger_iter_train5000_humanoidv2_10;dagger;humanoidv2;143;5000;20;1000;200;100;2;64;0.005;1000000;975.44;38.89;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_10;dagger;humanoidv2;1000;5000;20;5000;1000;1000;2;64;0.005;1000000;9909.79;0.0;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_4;dagger;humanoidv2;1000;5000;20;5000;1000;1000;2;64;0.005;1000000;10031.58;0.0;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_8;dagger;humanoidv2;1000;5000;20;5000;1000;1000;2;64;0.005;1000000;10176.6;0.0;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_3;dagger;humanoidv2;929;5000;20;5000;1000;1000;2;64;0.005;1000000;9070.3;809.4;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_1;dagger;humanoidv2;823;5000;20;5000;1000;1000;2;64;0.005;1000000;7895.57;1953.85;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_9;dagger;humanoidv2;1000;5000;20;5000;1000;1000;2;64;0.005;1000000;10017.04;0.0;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_5;dagger;humanoidv2;1000;5000;20;5000;1000;1000;2;64;0.005;1000000;10010.75;0.0;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_6;dagger;humanoidv2;1000;5000;20;5000;1000;1000;2;64;0.005;1000000;10086.04;0.0;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_7;dagger;humanoidv2;569;5000;20;5000;1000;1000;2;64;0.005;1000000;5485.18;3241.01;10344.52
dagger_iter_train_5000_batch_sizes_5000_1000humanoidv2_2;dagger;humanoidv2;399;5000;20;5000;1000;1000;2;64;0.005;1000000;3494.23;1544.11;10344.52
train_steps_per_iter500_4;bc;antv2;549;500;1;1000;200;100;2;64;0.005;1000000;588.4;0.0;4713.65
train_steps_per_iter500_2;bc;antv2;388;500;1;1000;200;100;2;64;0.005;1000000;281.02;0.0;4713.65
train_steps_per_iter500_8;bc;antv2;577;500;1;1000;200;100;2;64;0.005;1000000;293.84;80.32;4713.65
train_steps_per_iter500_10;bc;antv2;1000;500;1;1000;200;100;2;64;0.005;1000000;767.28;0.0;4713.65
train_steps_per_iter500_9;bc;antv2;217;500;1;1000;200;100;2;64;0.005;1000000;277.25;0.0;4713.65
train_steps_per_iter500_6;bc;antv2;1000;500;1;1000;200;100;2;64;0.005;1000000;246.21;0.0;4713.65
train_steps_per_iter500_1;bc;antv2;137;500;1;1000;200;100;2;64;0.005;1000000;239.69;118.0;4713.65
train_steps_per_iter500_7;bc;antv2;149;500;1;1000;200;100;2;64;0.005;1000000;214.6;17.49;4713.65
train_steps_per_iter500_5;bc;antv2;1000;500;1;1000;200;100;2;64;0.005;1000000;863.25;0.0;4713.65
train_steps_per_iter500_3;bc;antv2;508;500;1;1000;200;100;2;64;0.005;1000000;498.5;0.0;4713.65
train_steps_per_iter1500_5;bc;antv2;454;1500;1;1000;200;100;2;64;0.005;1000000;1685.24;0.0;4713.65
train_steps_per_iter1500_2;bc;antv2;1000;1500;1;1000;200;100;2;64;0.005;1000000;3526.67;0.0;4713.65
train_steps_per_iter1500_10;bc;antv2;1000;1500;1;1000;200;100;2;64;0.005;1000000;1254.01;0.0;4713.65
train_steps_per_iter1500_4;bc;antv2;1000;1500;1;1000;200;100;2;64;0.005;1000000;3835.42;0.0;4713.65
train_steps_per_iter1500_3;bc;antv2;1000;1500;1;1000;200;100;2;64;0.005;1000000;551.15;0.0;4713.65
train_steps_per_iter1500_8;bc;antv2;992;1500;1;1000;200;100;2;64;0.005;1000000;3957.81;0.0;4713.65
train_steps_per_iter1500_1;bc;antv2;1000;1500;1;1000;200;100;2;64;0.005;1000000;3714.13;0.0;4713.65
train_steps_per_iter1500_7;bc;antv2;1000;1500;1;1000;200;100;2;64;0.005;1000000;3889.2;0.0;4713.65
train_steps_per_iter1500_9;bc;antv2;944;1500;1;1000;200;100;2;64;0.005;1000000;3362.19;0.0;4713.65
train_steps_per_iter1500_6;bc;antv2;303;1500;1;1000;200;100;2;64;0.005;1000000;1185.97;0.0;4713.65
